,,,,,2018,2019,2020,2021
TÀI SẢN (ASSETS),,,,,0,0,0,0,
,A. TÀI SẢN NGẮN HẠN(A. SHORT-TERM ASSETS),,,,94154860,56747258,30436937,25308725,
,,I. Tiền và các khoản tương đương tiền(I. Cash and cash equivalents),,,22471376,13696099,4544900,2515617,
,,,1. Tiền(1. Cash),,6316300,2094314,1678314,1822302,
,,,2. Các khoản tương đương tiền(2. Cash equivalents),,16155076,11601785,2866586,693315,
,,II.  Đầu tư tài chính ngắn hạn(II.  Short-term financial investments),,,18236153,8126993,1374340,3724563,
,,,1. Chứng khoán kinh doanh(1. Available for sale securities),,0,0,0,0,
,,,2. Dự phòng giảm giá chứng khoán kinh doanh (*)(2. Provision for diminution in value of available for sale securities (*)),,0,0,0,0,
,,,3. Đầu tư nắm giữ đến ngày đáo hạn(3. Held to maturity investments),,18236153,8126993,1374340,3724563,
,,III. Các khoản phải thu ngắn hạn(III. Short-term receivables),,,7662681,6124790,3561397,3210279,
,,,1. Phải thu ngắn hạn của khách hàng(1. Short-term trade accounts receivable),,4973096,3949487,2699937,2281761,
,,,2. Trả trước cho người bán ngắn hạn(2. Short-term prepayments to suppliers  ),,1722372,1303038,757833,810319,
,,,3. Phải thu nội bộ ngắn hạn(3. Short-term inter-company receivables),,0,0,0,0,
,,,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng(4. Construction contract progress receipts due from customers),,0,0,0,0,
,,,5. Phải thu về cho vay ngắn hạn(5. Short-term loan receivables),,23522,0,0,0,
,,,6. Phải thu ngắn hạn khác(6. Other short-term receivables ),,981799,910366,139273,150952,
,,,7. Dự phòng phải thu ngắn hạn khó đòi (*)(7. Provision for short-term doubtful debts (*)),,-39275,-39336,-37146,-37694,
,,,8. Tài sản thiếu chờ xử lý(8. Assets awaiting resolution),,1168,1236,1500,4940,
,,IV. Hàng tồn kho(IV. Inventories),,,42134494,26286822,19411923,14115139,
,,,1. Hàng tồn kho(1. Inventories),,42370012,26373361,19480667,14188336,
,,,2. Dự phòng giảm giá hàng tồn kho (*)(2. Provision for decline in value of inventories ),,-235518,-86539,-68744,-73197,
,,V. Tài sản ngắn hạn khác(V. Other short-term assets),,,3650157,2512554,1544376,1743128,
,,,1. Chi phí trả trước ngắn hạn(1. Short-term prepayments),,296697,141398,118551,122420,
,,,2. Thuế GTGT được khấu trừ(2. Value added tax to be reclaimed),,3335690,2357339,1400160,1601957,
,,,3. Thuế và các khoản khác phải thu của nhà nước(3. Taxes and other receivables from state authorities),,17769,13817,25665,18750,
,,,4. Giao dịch mua bán lại trái phiếu chính phủ(4. Government bonds),,0,0,0,0,
,,,5. Tài sản ngắn hạn khác(5. Other short-term assets),,0,0,0,0,
,B. TÀI SẢN DÀI HẠN(B. LONG-TERM ASSETS ),,,,84081563,74764176,71339093,52914282,
,,I. Các khoản phải thu dài hạn(I. Long-term receivables),,,809235,305166,27718,22302,
,,,1. Phải thu dài hạn của khách hàng(1. Long-term trade receivables),,0,0,0,0,
,,,2. Trả trước cho người bán dài hạn(2. Long-term prepayments to suppliers  ),,0,0,0,0,
,,,3. Vốn kinh doanh ở các đơn vị trực thuộc(3. Capital at inter-company),,0,0,0,0,
,,,4.  Phải thu nội bộ dài hạn (4. Long-term inter-company receivables),,0,0,0,0,
,,,5. Phải thu về cho vay dài hạn(5. Long-term loan receivables),,118401,96007,4910,0,
,,,6. Phải thu dài hạn khác(6. Other long-term receivables),,690834,209158,22807,22302,
,,,7. Dự phòng phải thu dài hạn khó đòi (*)(7. Provision for long-term doubtful debts),,0,0,0,0,
,,II. Tài sản cố định(II. Fixed assets),,,69280842,65561657,31249494,12782561,
,,,1. Tài sản cố định hữu hình(1. Tangible fixed assets),,68744126,65307820,30980122,12565364,
,,,,      - Nguyên giá(    - Cost),91026106,82616601,43804940,22992664,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-22281980,-17308781,-12824818,-10427300,
,,,2. Tài sản cố định thuê tài chính(2. Financial leased fixed assets),,0,0,0,0,
,,,,      - Nguyên giá(    - Cost),0,0,0,0,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),0,0,0,0,
,,,3. Tài sản cố định vô hình(3. Intangible fixed assets),,536716,253837,269371,217197,
,,,,      - Nguyên giá(    - Cost),618322,342995,339571,268392,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-81606,-89158,-70199,-51195,
,,III. Bất động sản đầu tư(III. Investment properties),,,548211,564297,576617,179741,
,,,      - Nguyên giá(    - Cost),,698820,681932,663240,246767,
,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),,-150609,-117635,-86623,-67027,
,,IV. Tài sản dở dang dài hạn(IV. Long-term assets in progress),,,9698699,6247214,37435320,38107321,
,,,1. Chi phí sản xuất. kinh doanh dở dang dài hạn(1. Long-term production in progress),,1409414,918471,750146,910420,
,,,2. Chi phí xây dựng cơ bản dở dang(2. Construction in progress),,8289285,5328743,36685174,37196900,
,,V. Đầu tư tài chính dài hạn(V. Long-term financial investments),,,6716,171085,45794,66585,
,,,1. Đầu tư vào công ty con(1. Investments in subsidiaries),,0,0,0,0,
,,,2. Đầu tư vào công ty liên kết. liên doanh(2. Investments in associates. joint-ventures),,6016,385,-1431,0,
,,,3. Đầu tư góp vốn vào đơn vị khác(3. Investments in other entities),,700,700,700,700,
,,,4. Dự phòng đầu tư tài chính dài hạn (*)(4. Provision for diminution in value of long-term investments),,0,0,0,0,
,,,5. Đầu tư nắm giữ đến ngày đáo hạn(5. Held to maturity investments),,0,170000,46526,65885,
,,,6. Đầu tư dài hạn khác(6. Other long-term investments),,0,0,0,0,
,,VI. Tài sản dài hạn khác(VI. Other long-term assets),,,3700738,1871648,1942965,1667540,
,,,1. Chi phí trả trước dài hạn(1. Long-term prepayments),,3171382,1646095,1650739,1461312,
,,,2. Tài sản thuế thu nhập hoãn lại(2. Deferred income tax assets),,529356,225553,292227,206228,
,,,3. Thiết bị. vật tư. phụ tùng thay thế dài hạn(3. Long-term equipment. supplies. spare parts),,0,0,0,0,
,,,4. Tài sản dài hạn khác(4. Other long-term assets),,0,0,0,0,
