,,,,,2018,2019,2020,2021
TÀI SẢN (ASSETS),,,,,0,0,0,0,
,A. TÀI SẢN NGẮN HẠN(A. SHORT-TERM ASSETS),,,,9292192,7143929,7333364,5405257,
,,I. Tiền và các khoản tương đương tiền(I. Cash and cash equivalents),,,355455,422235,95224,206721,
,,,1. Tiền(1. Cash),,355455,422235,95224,206721,
,,,2. Các khoản tương đương tiền(2. Cash equivalents),,0,0,0,0,
,,II.  Đầu tư tài chính ngắn hạn(II.  Short-term financial investments),,,0,0,0,0,
,,,1. Chứng khoán kinh doanh(1. Available for sale securities),,0,0,0,0,
,,,2. Dự phòng giảm giá chứng khoán kinh doanh (*)(2. Provision for diminution in value of available for sale securities (*)),,0,0,0,0,
,,,3. Đầu tư nắm giữ đến ngày đáo hạn(3. Held to maturity investments),,0,0,0,0,
,,III. Các khoản phải thu ngắn hạn(III. Short-term receivables),,,111970,98997,129688,155196,
,,,1. Phải thu ngắn hạn của khách hàng(1. Short-term trade accounts receivable),,59931,67592,48293,57664,
,,,2. Trả trước cho người bán ngắn hạn(2. Short-term prepayments to suppliers  ),,30659,20219,74867,57982,
,,,3. Phải thu nội bộ ngắn hạn(3. Short-term inter-company receivables),,0,0,0,0,
,,,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng(4. Construction contract progress receipts due from customers),,0,0,0,0,
,,,5. Phải thu về cho vay ngắn hạn(5. Short-term loan receivables),,0,0,0,0,
,,,6. Phải thu ngắn hạn khác(6. Other short-term receivables ),,22832,12261,5288,39159,
,,,7. Dự phòng phải thu ngắn hạn khó đòi (*)(7. Provision for short-term doubtful debts (*)),,-2005,-1203,0,0,
,,,8. Tài sản thiếu chờ xử lý(8. Assets awaiting resolution),,553,128,1240,392,
,,IV. Hàng tồn kho(IV. Inventories),,,8754742,6545906,7030420,4968146,
,,,1. Hàng tồn kho(1. Inventories),,8754742,6545906,7030420,4968146,
,,,2. Dự phòng giảm giá hàng tồn kho (*)(2. Provision for decline in value of inventories ),,0,0,0,0,
,,V. Tài sản ngắn hạn khác(V. Other short-term assets),,,70026,76791,78031,75193,
,,,1. Chi phí trả trước ngắn hạn(1. Short-term prepayments),,56717,66113,71633,68191,
,,,2. Thuế GTGT được khấu trừ(2. Value added tax to be reclaimed),,8706,10670,6307,626,
,,,3. Thuế và các khoản khác phải thu của nhà nước(3. Taxes and other receivables from state authorities),,4603,8,91,6376,
,,,4. Giao dịch mua bán lại trái phiếu chính phủ(4. Government bonds),,0,0,0,0,
,,,5. Tài sản ngắn hạn khác(5. Other short-term assets),,0,0,0,0,
,B. TÀI SẢN DÀI HẠN(B. LONG-TERM ASSETS ),,,,1326824,1339217,1269600,1032639,
,,I. Các khoản phải thu dài hạn(I. Long-term receivables),,,84132,77311,70722,57498,
,,,1. Phải thu dài hạn của khách hàng(1. Long-term trade receivables),,0,0,0,0,
,,,2. Trả trước cho người bán dài hạn(2. Long-term prepayments to suppliers  ),,0,0,0,0,
,,,3. Vốn kinh doanh ở các đơn vị trực thuộc(3. Capital at inter-company),,0,0,0,0,
,,,4.  Phải thu nội bộ dài hạn (4. Long-term inter-company receivables),,0,0,0,0,
,,,5. Phải thu về cho vay dài hạn(5. Long-term loan receivables),,0,0,0,0,
,,,6. Phải thu dài hạn khác(6. Other long-term receivables),,84132,77311,70722,57498,
,,,7. Dự phòng phải thu dài hạn khó đòi (*)(7. Provision for long-term doubtful debts),,0,0,0,0,
,,II. Tài sản cố định(II. Fixed assets),,,909985,931617,923870,719287,
,,,1. Tài sản cố định hữu hình(1. Tangible fixed assets),,259137,281244,263827,225961,
,,,,      - Nguyên giá(    - Cost),633615,600464,534819,454178,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-374477,-319220,-270991,-228218,
,,,2. Tài sản cố định thuê tài chính(2. Financial leased fixed assets),,0,0,0,0,
,,,,      - Nguyên giá(    - Cost),0,0,0,0,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),0,0,0,0,
,,,3. Tài sản cố định vô hình(3. Intangible fixed assets),,650848,650373,660043,493327,
,,,,      - Nguyên giá(    - Cost),697775,683791,679620,499937,
,,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),-46927,-33418,-19577,-6611,
,,III. Bất động sản đầu tư(III. Investment properties),,,0,0,0,0,
,,,      - Nguyên giá(    - Cost),,0,0,0,0,
,,,      - Giá trị hao mòn lũy kế (*)(    - Accumulated depreciation),,0,0,0,0,
,,IV. Tài sản dở dang dài hạn(IV. Long-term assets in progress),,,30795,33004,28457,70823,
,,,1. Chi phí sản xuất. kinh doanh dở dang dài hạn(1. Long-term production in progress),,0,0,0,0,
,,,2. Chi phí xây dựng cơ bản dở dang(2. Construction in progress),,30795,33004,28457,70823,
,,V. Đầu tư tài chính dài hạn(V. Long-term financial investments),,,0,0,0,0,
,,,1. Đầu tư vào công ty con(1. Investments in subsidiaries),,0,0,0,0,
