,,,,,2018,2019,2020,2021
TÀI SẢN ,,,,,0,0,0,0,
,A. TÀI SẢN NGẮN HẠN,,,,9292192,7143929,7333364,5405257,
,,I. Tiền và các khoản tương đương tiền,,,355455,422235,95224,206721,
,,,1. Tiền,,355455,422235,95224,206721,
,,,2. Các khoản tương đương tiền,,0,0,0,0,
,,II.  Đầu tư tài chính ngắn hạn,,,0,0,0,0,
,,,1. Chứng khoán kinh doanh,,0,0,0,0,
,,,2. Dự phòng giảm giá chứng khoán kinh doanh (*),,0,0,0,0,
,,,3. Đầu tư nắm giữ đến ngày đáo hạn,,0,0,0,0,
,,III. Các khoản phải thu ngắn hạn,,,111970,98997,129688,155196,
,,,1. Phải thu ngắn hạn của khách hàng,,59931,67592,48293,57664,
,,,2. Trả trước cho người bán ngắn hạn,,30659,20219,74867,57982,
,,,3. Phải thu nội bộ ngắn hạn,,0,0,0,0,
,,,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,0,0,0,0,
,,,5. Phải thu về cho vay ngắn hạn,,0,0,0,0,
,,,6. Phải thu ngắn hạn khác,,22832,12261,5288,39159,
,,,7. Dự phòng phải thu ngắn hạn khó đòi (*),,-2005,-1203,0,0,
,,,8. Tài sản thiếu chờ xử lý,,553,128,1240,392,
,,IV. Hàng tồn kho,,,8754742,6545906,7030420,4968146,
,,,1. Hàng tồn kho,,8754742,6545906,7030420,4968146,
,,,2. Dự phòng giảm giá hàng tồn kho (*),,0,0,0,0,
,,V. Tài sản ngắn hạn khác,,,70026,76791,78031,75193,
,,,1. Chi phí trả trước ngắn hạn,,56717,66113,71633,68191,
,,,2. Thuế GTGT được khấu trừ,,8706,10670,6307,626,
,,,3. Thuế và các khoản khác phải thu của nhà nước,,4603,8,91,6376,
,,,4. Giao dịch mua bán lại trái phiếu chính phủ,,0,0,0,0,
,,,5. Tài sản ngắn hạn khác,,0,0,0,0,
,B. TÀI SẢN DÀI HẠN,,,,1326824,1339217,1269600,1032639,
,,I. Các khoản phải thu dài hạn,,,84132,77311,70722,57498,
,,,1. Phải thu dài hạn của khách hàng,,0,0,0,0,
,,,2. Trả trước cho người bán dài hạn,,0,0,0,0,
,,,3. Vốn kinh doanh ở các đơn vị trực thuộc,,0,0,0,0,
,,,4.  Phải thu nội bộ dài hạn ,,0,0,0,0,
,,,5. Phải thu về cho vay dài hạn,,0,0,0,0,
,,,6. Phải thu dài hạn khác,,84132,77311,70722,57498,
,,,7. Dự phòng phải thu dài hạn khó đòi (*),,0,0,0,0,
,,II. Tài sản cố định,,,909985,931617,923870,719287,
,,,1. Tài sản cố định hữu hình,,259137,281244,263827,225961,
,,,,      - Nguyên giá,633615,600464,534819,454178,
,,,,      - Giá trị hao mòn lũy kế (*),-374477,-319220,-270991,-228218,
,,,2. Tài sản cố định thuê tài chính,,0,0,0,0,
,,,,      - Nguyên giá,0,0,0,0,
,,,,      - Giá trị hao mòn lũy kế (*),0,0,0,0,
,,,3. Tài sản cố định vô hình,,650848,650373,660043,493327,
,,,,      - Nguyên giá,697775,683791,679620,499937,
,,,,      - Giá trị hao mòn lũy kế (*),-46927,-33418,-19577,-6611,
,,III. Bất động sản đầu tư,,,0,0,0,0,
,,,      - Nguyên giá,,0,0,0,0,
,,,      - Giá trị hao mòn lũy kế (*),,0,0,0,0,
,,IV. Tài sản dở dang dài hạn,,,30795,33004,28457,70823,
,,,1. Chi phí sản xuất. kinh doanh dở dang dài hạn,,0,0,0,0,
,,,2. Chi phí xây dựng cơ bản dở dang,,30795,33004,28457,70823,
,,V. Đầu tư tài chính dài hạn,,,0,0,0,0,
,,,1. Đầu tư vào công ty con,,0,0,0,0,
,,,2. Đầu tư vào công ty liên kết. liên doanh,,0,0,0,0,
,,,3. Đầu tư góp vốn vào đơn vị khác,,395272,395272,395272,395272,
,,,4. Dự phòng đầu tư tài chính dài hạn (*),,-395272,-395272,-395272,-395272,
,,,5. Đầu tư nắm giữ đến ngày đáo hạn,,0,0,0,0,
,,,6. Đầu tư dài hạn khác,,0,0,0,0,
,,VI. Tài sản dài hạn khác,,,301912,297285,246551,185031,
,,,1. Chi phí trả trước dài hạn,,201443,206302,158319,99679,
,,,2. Tài sản thuế thu nhập hoãn lại,,100469,90984,88232,85352,
,,,3. Thiết bị. vật tư. phụ tùng thay thế dài hạn,,0,0,0,0,
,,,4. Tài sản dài hạn khác,,0,0,0,0,
,,VII. Lợi thế thương mại,,,0,0,0,0,
TỔNG CỘNG TÀI SẢN,,,,,10619017,8483146,8602964,6437896,
NGUỒN VỐN,,,,,0,0,0,0,
,A. NỢ PHẢI TRẢ,,,,4606383,3241284,4025699,2692822,
